date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:14:34	214852/214852	------	200	untouched ('OK')	text/html	date:Thu,%2015%20Aug%202024%2014:21:27%20GMT	https://leitmotif.qodeinteractive.com/	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/index.html	(from )
22:14:34	133/133	------	200	untouched ('OK')	text/plain	date:Thu,%2015%20Aug%202024%2014:21:26%20GMT	https://leitmotif.qodeinteractive.com/robots.txt		(from )
22:14:34	83580/83580	------	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2014:21:43%20GMT	https://leitmotif.qodeinteractive.com/xmlrpc.php?rsd	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/xmlrpc.230db0.delayed	(from https://leitmotif.qodeinteractive.com/)
22:14:34	62047/62047	------	200	untouched ('')	application/rss+xml	etag:W/%22f92e9d889abcbaea4f350de91392cab5%22	https://leitmotif.qodeinteractive.com/feed/	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/feed/index.html	(from https://leitmotif.qodeinteractive.com/)
22:14:34	9056/9056	------	200	untouched ('')	application/rss+xml	etag:W/%22f92e9d889abcbaea4f350de91392cab5%22	https://leitmotif.qodeinteractive.com/comments/feed/	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/comments/feed/index.html	(from https://leitmotif.qodeinteractive.com/)
22:14:34	88932/88932	------	200	untouched ('OK')	text/css	date:Tue,%2012%20Jul%202022%2023:38:27%20GMT	https://leitmotif.qodeinteractive.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.9	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/wp-includes/css/dist/block-library/style.minbfbf.css	(from https://leitmotif.qodeinteractive.com/)
22:14:34	1325/1325	------	200	untouched ('OK')	text/css	date:Mon,%2024%20Oct%202022%2012:31:42%20GMT	https://leitmotif.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-bar.css?ver=7.3.3	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-barba31.css	(from https://leitmotif.qodeinteractive.com/)
22:14:34	2731/2731	------	200	untouched ('OK')	text/css	date:Mon,%2024%20Oct%202022%2012:31:29%20GMT	https://leitmotif.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.4	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles77e1.css	(from https://leitmotif.qodeinteractive.com/)
22:14:34	7504/7504	------	200	untouched ('OK')	text/css	etag:W/%2263c16c7d-1d50%22	https://export.qodethemes.com/_toolbar/assets/css/rbt-modules.css?ver=6.0.9	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/export.qodethemes.com/_toolbar/assets/css/rbt-modulesbfbf.css	(from https://leitmotif.qodeinteractive.com/)
22:14:34	99657/99657	------	200	untouched ('OK')	text/css	date:Mon,%2024%20Oct%202022%2012:31:37%20GMT	https://leitmotif.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/css/frontend.min.css?ver=4.3.0	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/css/frontend.minb2f9.css	(from https://leitmotif.qodeinteractive.com/)
