date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:25	133/133	---MCZ	200	added ('OK')	text/plain	date:Thu,%2015%20Aug%202024%2014:21:26%20GMT	https://leitmotif.qodeinteractive.com/robots.txt		(from )
19:51:28	214852/214852	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Aug%202024%2014:21:27%20GMT	https://leitmotif.qodeinteractive.com/	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/index.html	(from )
19:51:28	88932/88932	---MCZ	200	added ('OK')	text/css	date:Tue,%2012%20Jul%202022%2023:38:27%20GMT	https://leitmotif.qodeinteractive.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.9	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/wp-includes/css/dist/block-library/style.minbfbf.css	(from https://leitmotif.qodeinteractive.com/)
19:51:29	1325/1325	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2012:31:42%20GMT	https://leitmotif.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-bar.css?ver=7.3.3	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-barba31.css	(from https://leitmotif.qodeinteractive.com/)
19:51:29	2731/2731	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2012:31:29%20GMT	https://leitmotif.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.4	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles77e1.css	(from https://leitmotif.qodeinteractive.com/)
19:51:30	7504/7504	---MCZ	200	added ('OK')	text/css	etag:W/%2263c16c7d-1d50%22	https://export.qodethemes.com/_toolbar/assets/css/rbt-modules.css?ver=6.0.9	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/export.qodethemes.com/_toolbar/assets/css/rbt-modulesbfbf.css	(from https://leitmotif.qodeinteractive.com/)
19:51:30	9056/9056	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22f92e9d889abcbaea4f350de91392cab5%22	https://leitmotif.qodeinteractive.com/comments/feed/	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/comments/feed/index.html	(from https://leitmotif.qodeinteractive.com/)
19:51:30	99657/99657	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2012:31:37%20GMT	https://leitmotif.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/css/frontend.min.css?ver=4.3.0	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/css/frontend.minb2f9.css	(from https://leitmotif.qodeinteractive.com/)
19:51:30	13825/13825	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2012:31:37%20GMT	https://leitmotif.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.css?ver=4.3.0	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.minb2f9.css	(from https://leitmotif.qodeinteractive.com/)
19:51:30	14965/14965	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2012:31:37%20GMT	https://leitmotif.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.min.css?ver=6.0.9	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.minbfbf.css	(from https://leitmotif.qodeinteractive.com/)
19:51:30	62047/62047	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22f92e9d889abcbaea4f350de91392cab5%22	https://leitmotif.qodeinteractive.com/feed/	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/feed/index.html	(from https://leitmotif.qodeinteractive.com/)
19:51:31	13677/13677	---MCZ	200	added ('OK')	text/css	date:Mon,%2004%20Jul%202022%2011:28:58%20GMT	https://leitmotif.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/plugins/swiper/swiper.min.css?ver=6.0.9	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/plugins/swiper/swiper.minbfbf.css	(from https://leitmotif.qodeinteractive.com/)
19:51:32	44829/44829	---MCZ	200	added ('OK')	text/css	date:Mon,%2004%20Jul%202022%2011:28:58%20GMT	https://leitmotif.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.min.css?ver=6.0.9	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.minbfbf.css	(from https://leitmotif.qodeinteractive.com/)
19:51:32	24598/24598	---MCZ	200	added ('OK')	text/css	date:Mon,%2004%20Jul%202022%2011:28:58%20GMT	https://leitmotif.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.min.css?ver=6.0.9	D:/Development/My%20Web%20Sites/movies/leitmotif/leitmotif/leitmotif.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.minbfbf.css	(from https://leitmotif.qodeinteractive.com/)
